candidate_id,ticker,event_date,release_timing,event_type,analysis_scope,sample_role,reaction_date,previous_close_date,fifth_session,previous_close,reaction_close,fifth_close,forward_count,reaction_volume,prior_volume_avg,prior_volume_count,benchmark,benchmark_previous_close,benchmark_reaction_close,benchmark_fifth_close,benchmark_forward_count,actual_eps,consensus_eps,eps_eligible,eps_surprise_pct,eps_difference,return_1d_pct,return_5d_pct,benchmark_return_1d_pct,benchmark_return_5d_pct,volume_ratio_60d,excess_return_1d_pp,excess_return_5d_pp,calculated_pattern
C13,SOXX,2022-09-21,intraday,macro,macro_price,macro,2022-09-21,2022-09-20,2022-09-27,113.40982055664062,112.26377868652344,107.11836242675781,5,3535200,2927935.000000000000,60,SPY,365.5818786621094,359.20477294921875,345.86993408203125,5,,,f,,,-1.01053142002354967000,-5.54754261932779222200,-1.74437139396198490700,-5.39193699978138092600,1.2074038528860784,0.73383997393843523700,-0.15560561954641129600,
C16,AMD,2022-08-02,amc,earnings,eps_and_price,divergence_candidate,2022-08-03,2022-08-02,2022-08-09,99.29000091552734,98.08999633789062,95.54000091552734,5,131142000,102876321.66666667,60,SOXX,131.7529754638672,135.41383361816406,127.17526245117188,5,1.05,1.03,t,1.9417475728155340,0.02,-1.20858552379070309400,-3.77681535443873788800,2.7785772134617500,-3.47446651324450887700,1.27475397521421875375,-3.98716273725245309400,-0.30234884119422901100,divergent
C18,MU,2023-09-27,amc,earnings,eps_and_price,divergence_candidate,2023-09-28,2023-09-27,2023-10-04,67.45614624023438,64.47941589355469,67.35726928710938,5,46749800,13051806.666666666667,60,SOXX,151.9420166015625,154.7554931640625,154.89979553222656,5,-1.07,-1.18,t,9.3220338983050847,0.11,-4.41283783997760022400,-0.14657960561942775900,1.8516777817144400,1.9466497791853300,3.5818642731964055,-6.26451562169204022400,-2.09322938480475775900,divergent
C19,TSM,2024-10-17,bmo,earnings,qualitative,qualitative,2024-10-17,2024-10-16,2024-10-23,183.4541015625,201.41983032226562,196.54676818847656,5,62274700,14453093.333333333333,60,SOXX,225.16604614257812,226.93875122070312,223.85874938964844,5,,,f,,,9.7930373901425000,7.1367532884055400,0.7872879186245100,-0.58059231190740117000,4.3087454404224424,9.0057494715179900,7.71734560031294117000,
C22,INTC,2019-07-25,amc,earnings,eps_and_price,divergence_candidate,2019-07-26,2019-07-25,2019-08-01,45.45120620727539,44.95451354980469,43.133331298828125,5,36401500,23099756.666666666667,60,SOXX,67.8935317993164,67.87474822998047,64.35679626464844,5,1.06,0.89,t,19.1011235955056180,0.17,-1.09280412758593464500,-5.09969944004751622400,-0.02766621331683193700,-5.20923781829769290300,1.5758391105707174,-1.06513791426910270800,0.10953837825017667900,divergent
C23,NVDA,2021-11-17,amc,earnings,eps_and_price,comparison,2021-11-18,2021-11-17,2021-11-24,29.1652774810791,31.571386337280273,32.567108154296875,5,781711000,296611500.00000000,60,SOXX,169.35984802246094,172.19219970703125,171.34762573242188,5,1.17,1.11,t,5.4054054054054054,0.06,8.2499090151366800,11.6639749970652700,1.6723867656014200,1.1737006930339900,2.6354709780301843,6.5775222495352600,10.4902743040312800,aligned
C25,TSM,2025-01-16,bmo,earnings,qualitative,qualitative,2025-01-16,2025-01-15,2025-01-23,203.00181579589844,210.84506225585938,220.49452209472656,5,38539600,13091098.333333333333,60,SOXX,221.4045867919922,221.73191833496094,233.46621704101562,5,,,f,,,3.8636336474185400,8.6170196213493900,0.14784316247082329400,5.4477779452488100,2.9439546643590766,3.71579048494771670600,3.1692416761005800,
C26,SOXX,2025-04-02,amc,macro,macro_price,macro,2025-04-03,2025-04-02,2025-04-09,188.18765258789062,169.1980743408203,182.36761474609375,5,9982600,3550371.666666666667,60,SPY,556.6878051757812,529.2537231445312,541.0084228515625,5,,,f,,,-10.09076737284954547900,-3.09267784669278249600,-4.92809107298252067400,-2.81654855350526982600,2.8117056289411954,-5.16267629986702480500,-0.27612929318751267000,
C27,NVDA,2023-11-21,amc,earnings,eps_and_price,divergence_candidate,2023-11-22,2023-11-21,2023-11-29,49.85099411010742,48.62528610229492,48.05036163330078,5,899420000,448844916.66666667,60,SOXX,168.36062622070312,168.89842224121094,169.6165313720703,5,4.02,3.36,t,19.6428571428571429,0.66,-2.45874336047389771500,-3.61202922619662871600,0.31943099320789281900,0.7459613209806100,2.0038547092824749,-2.77817435368179053400,-4.35799054717723871600,divergent
C28,MU,2024-06-26,amc,earnings,eps_and_price,divergence_candidate,2024-06-27,2024-06-26,2024-07-03,141.34664916992188,131.28875732421875,135.84609985351562,5,68172700,21026480.000000000000,60,SOXX,242.46139526367188,241.21661376953125,251.19482421875,5,0.62,0.48,t,29.1666666666666667,0.14,-7.11576249226247492900,-3.89153145738438877800,-0.51339368594615040300,3.6019874197212700,3.2422307490364531,-6.60236880631632452600,-7.49351887710565877800,divergent
